Type: car
Length, m: 4.80
Width, m: 1.60
Height, m: 1.26
Weight, kg: 1300
Frames: 46-136
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
16.507;-7.639;8.730;1.230;NoValue;-0.99998;0.00554;NoValue;NoValue;NoValue;NoValue
16.159;-7.640;8.783;1.242;NoValue;-0.99999;0.00410;16.20370;-7.62404;-1.00000;0.00000
15.809;-7.642;8.838;1.294;NoValue;-1.00000;0.00239;NoValue;NoValue;NoValue;NoValue
15.458;-7.644;8.896;1.351;NoValue;-1.00000;0.00042;NoValue;NoValue;NoValue;NoValue
15.105;-7.647;8.948;1.404;NoValue;-1.00000;-0.00181;NoValue;NoValue;NoValue;NoValue
14.749;-7.651;8.993;1.442;NoValue;-0.99999;-0.00334;NoValue;NoValue;NoValue;NoValue
14.389;-7.655;9.046;1.484;NoValue;-0.99999;-0.00429;NoValue;NoValue;NoValue;NoValue
14.027;-7.660;9.102;1.516;NoValue;-0.99998;-0.00591;NoValue;NoValue;NoValue;NoValue
13.661;-7.665;9.162;1.537;NoValue;-0.99997;-0.00751;NoValue;NoValue;NoValue;NoValue
13.293;-7.671;9.226;1.559;NoValue;-0.99995;-0.00985;NoValue;NoValue;NoValue;NoValue
12.923;-7.676;9.294;1.583;NoValue;-0.99994;-0.01135;NoValue;NoValue;NoValue;NoValue
12.551;-7.682;9.365;1.623;NoValue;-0.99992;-0.01282;12.59364;-7.68247;-1.00000;0.00000
12.178;-7.688;9.436;1.678;NoValue;-0.99990;-0.01396;NoValue;NoValue;NoValue;NoValue
11.803;-7.694;9.505;1.728;NoValue;-0.99989;-0.01477;NoValue;NoValue;NoValue;NoValue
11.427;-7.699;9.573;1.763;NoValue;-0.99988;-0.01528;NoValue;NoValue;NoValue;NoValue
11.046;-7.705;9.640;1.785;NoValue;-0.99988;-0.01548;NoValue;NoValue;NoValue;NoValue
10.662;-7.710;9.705;1.791;NoValue;-0.99988;-0.01538;NoValue;NoValue;NoValue;NoValue
10.274;-7.715;9.774;1.784;NoValue;-0.99989;-0.01512;NoValue;NoValue;NoValue;NoValue
9.882;-7.719;9.846;1.762;NoValue;-0.99989;-0.01470;NoValue;NoValue;NoValue;NoValue
9.486;-7.724;9.922;1.745;NoValue;-0.99990;-0.01413;NoValue;NoValue;NoValue;NoValue
9.088;-7.728;10.000;1.731;NoValue;-0.99991;-0.01340;NoValue;NoValue;NoValue;NoValue
8.687;-7.731;10.082;1.721;NoValue;-0.99992;-0.01254;8.75422;-7.73900;-1.00000;0.00000
8.284;-7.735;10.160;1.716;NoValue;-0.99993;-0.01170;NoValue;NoValue;NoValue;NoValue
7.878;-7.738;10.233;1.714;NoValue;-0.99994;-0.01090;NoValue;NoValue;NoValue;NoValue
7.470;-7.741;10.301;1.703;NoValue;-0.99995;-0.01012;NoValue;NoValue;NoValue;NoValue
7.059;-7.744;10.364;1.682;NoValue;-0.99996;-0.00937;NoValue;NoValue;NoValue;NoValue
6.644;-7.748;10.423;1.651;NoValue;-0.99996;-0.00865;NoValue;NoValue;NoValue;NoValue
